code,name,description,category,unit,normal_range_min,normal_range_max,created_at,updated_at
HR,Heart Rate,Beats per minute,Cardiovascular,bpm,60,100,2024-02-21T21:44:16.580378,2025-08-26T18:43:16.580411
SBP,Systolic Blood Pressure,Systolic pressure,Cardiovascular,mmHg,90,140,2025-06-06T21:43:16.580419,2025-09-01T14:51:16.580424
DBP,Diastolic Blood Pressure,Diastolic pressure,Cardiovascular,mmHg,60,90,2024-08-09T20:11:16.580430,2025-09-12T06:28:16.580434
TEMP,Body Temperature,Core body temperature,General,°F,97.0,99.5,2024-07-14T20:54:16.580439,2025-08-24T10:17:16.580442
RR,Respiratory Rate,Breaths per minute,Respiratory,bpm,12,20,2025-02-21T23:27:16.580446,2025-08-30T07:18:16.580451
SPO2,Oxygen Saturation,Blood oxygen saturation,Respiratory,%,95,100,2024-01-02T21:07:16.580455,2025-09-18T12:09:16.580459
BMI,Body Mass Index,Body mass index,Anthropometric,kg/m²,18.5,25,2023-10-30T09:48:16.580464,2025-08-20T14:54:16.580467
WEIGHT,Weight,Body weight,Anthropometric,lbs,100,300,2024-08-20T08:52:16.580472,2025-09-02T03:47:16.580475
HEIGHT,Height,Body height,Anthropometric,inches,58,78,2025-08-18T14:18:16.580480,2025-09-14T07:21:16.580483
GLUCOSE,Blood Glucose,Blood sugar level,Laboratory,mg/dL,70,140,2025-06-09T03:49:16.580488,2025-09-12T11:59:16.580492
